Stock Name,investor,Action,bulk_deal_date,bulk_deal_value,Quantity,Avg Price,Quantity Held,holding_average_price,profit_loss,Holder Name,holdings_change
CMS Info Systems Ltd.,massachusetts,Bought,2023-08-10,94.3777716,2651061,356.0,,,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,
Reliance Home Finance Ltd.,reliance-group,Sold,2023-08-10,2.4,12000000,2.0,2999597.0,1.9335930793369904,0.06640692066300957,RELIANCE CAPITAL LTD,-42.87
Reliance Home Finance Ltd.,reliance-group,Sold,2023-08-09,11.128,52000000,2.14,2999597.0,1.9335930793369904,0.2064069206630097,RELIANCE CAPITAL LTD,-42.87
360 One Wam Ltd.,goldman,Bought,2023-08-08,11.1496,222992,500.0,,,,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,
Reliance Home Finance Ltd.,reliance-group,Sold,2023-08-07,10.2,40000000,2.55,2999597.0,1.9335930793369904,0.6164069206630094,RELIANCE CAPITAL LTD,-42.87
Vascon Engineers Ltd.,ajay-upadhyaya,Bought,2023-08-07,7.20224,1420000,50.72,,,,AJAY SHIV NARAYAN UPADHYAYA,
Reliance Home Finance Ltd.,reliance-group,Sold,2023-08-04,1.3991944399999998,4997123,2.8,2999597.0,1.9335930793369904,0.8664069206630094,RELIANCE CAPITAL LTD,-42.87
Reliance Home Finance Ltd.,reliance-group,Sold,2023-08-03,2.321179146,7815418,2.97,2999597.0,1.9335930793369904,1.0364069206630098,RELIANCE CAPITAL LTD,-42.87
Niyogin Fintech Ltd.,madhusudan-kela,Bought,2023-08-02,30.9483,5020000,61.65,,,,MADHURI MADHUSUDAN KELA,
Reliance Home Finance Ltd.,reliance-group,Sold,2023-08-02,1.3373,4300000,3.11,2999597.0,1.9335930793369904,1.1764069206630094,RELIANCE CAPITAL LTD,-42.87
Spandana Sphoorty Financial Ltd.,goldman,Bought,2023-07-31,29.675156,357532,830.0,1759273.0,955.735693095955,-125.73569309595496,GOLDMAN SACHS FUNDS GOLDMAN SACHS INDIA EQUITY PORTFOLIO,0.62
Premier Explosives Ltd.,dilipkumar-lakhi,Sold,2023-07-19,10.94475,125000,875.58,393622.0,1485.9433669866014,-610.3633669866014,DILIPKUMAR VISHINDAS LAKHI,-6.2
Rallis India Ltd.,jhunjhunwala,Sold,2023-07-18,208.5985,9700000,215.05,,,,JHUNJHUNWALA REKHA,
Rallis India Ltd.,jhunjhunwala,Sold,2023-07-18,21.948865185,996091,220.35,,,,JHUNJHUNWALA REKHA,
Premier Explosives Ltd.,dilipkumar-lakhi,Sold,2023-07-13,7.795,100000,779.5,393622.0,1485.9433669866014,-706.4433669866014,DILIPKUMAR VISHINDAS LAKHI,-6.2
GHCL Textiles Ltd.,vanguard-fund,Sold,2023-06-30,3.5740585719999998,488126,73.22,,,,VANGUARD MODERATE GROWTH FUND,
Phoenix Township Ltd.,sanjiv,Bought,2023-06-30,0.42735,70000,61.05,242457.0,83.7261864990493,-22.676186499049308,SANJIV DHIRESHBHAI SHAH,0.5
Reliance Home Finance Ltd.,reliance-group,Sold,2023-06-30,0.972,3600000,2.7,2999597.0,1.9335930793369904,0.7664069206630097,RELIANCE CAPITAL LTD,-42.87
Vasa Denticity Ltd.,ashish-kacholia,Bought,2023-06-30,13.283700999999999,439000,302.59,,,,ASHISH RAMESHCHANDRA KACHOLIA,
Reliance Home Finance Ltd.,reliance-group,Sold,2023-06-28,3.637003154,12584786,2.89,2999597.0,1.9335930793369904,0.9564069206630097,RELIANCE CAPITAL LTD,-42.87
Sapphire Foods India Ltd.,vanguard-fund,Bought,2023-06-27,2.39133415,17365,1377.1,,,,VANGUARD EMERGING MARKETS STOCK INDEX FUND A SERIES OF VIEIF,
Sapphire Foods India Ltd.,vanguard-fund,Bought,2023-06-27,1.7164174399999998,12464,1377.1,,,,VANGUARD FTSE ALL WRLD EX US SMALL CAP INDEX FUND,
Sapphire Foods India Ltd.,vanguard-fund,Bought,2023-06-27,3.98450114,28934,1377.1,,,,VANGUARD TOTAL INTERNATIONAL STOCK INDEX FUND,
Landmark Cars Ltd.,goldman,Bought,2023-06-23,18.28253,277850,658.0,1331917.0,753.5004058060675,-95.50040580606753,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,0.21
Landmark Cars Ltd.,goldman,Bought,2023-06-23,18.28253,277850,658.0,1331917.0,753.5004058060675,-95.50040580606753,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,0.21
Reliance Home Finance Ltd.,reliance-group,Sold,2023-06-23,0.9125058,3062100,2.98,2999597.0,1.9335930793369904,1.0464069206630096,RELIANCE CAPITAL LTD,-42.87
Shriram Finance Ltd.,mirae-asset-fund,Bought,2023-06-21,8.2529265,53417,1545.0,,,,MIRAE ASSET MUTUAL FUND AC MIRAE ASSET EMERGING BLUECHIP FUND,
Shriram Finance Ltd.,reliance-group,Bought,2023-06-21,9.1941405,59509,1545.0,,,,RELIANCE CAP ASSET MGMT LTDC REL SMALL CAP FUND,
Shriram Finance Ltd.,reliance-group,Bought,2023-06-21,13.216548,85544,1545.0,,,,RELIANCE CAPITAL TRUSTEE CO LTD AC RELIANCE EQUITY ADVANTAGE FUND,
Shriram Finance Ltd.,reliance-group,Bought,2023-06-21,36.7760985,238033,1545.0,,,,RELIANCE CAPITAL TRUSTEE CO LTD AC RELIANCE INDEX FUND EQUITY OPPORTUNITIES FUND,
Shriram Finance Ltd.,reliance-group,Bought,2023-06-21,6.464589,41842,1545.0,,,,RELIANCE CAPITAL TRUSTEE COMPANY LIMITED AC RELIANCE BANKING FUND,
Shriram Finance Ltd.,vanguard-fund,Bought,2023-06-21,15.45,100000,1545.0,7608232.0,1974.8477701521197,-429.84777015211966,THE VANGUARD GROUP INC A/C VANGUARD EMERGING MARKETS STOCK INDEX FUND A SERIES OF VANGUARD INTERNAT,0.99
HDFC Asset Management Company Ltd.,vanguard-fund,Bought,2023-06-20,0.0513202,274,1873.0,,,,VANGUARD ASIA EX JAPAN SHARES INDEX FUND,
HDFC Asset Management Company Ltd.,vanguard-fund,Bought,2023-06-20,20.8597883,111371,1873.0,,,,VANGUARD EMERGING MARKETS STOCK INDEX FUND A SERIES OF VIEIF,
HDFC Asset Management Company Ltd.,vanguard-fund,Bought,2023-06-20,0.2292552,1224,1873.0,,,,VANGUARD ESG INTERNATIONAL STOCK ETF,
HDFC Asset Management Company Ltd.,vanguard-fund,Bought,2023-06-20,3.2891753,17561,1873.0,,,,VANGUARD FTSE ALL WORLD EX US FUND A SERIES OF VIEIF,
HDFC Asset Management Company Ltd.,vanguard-fund,Bought,2023-06-20,0.0179808,96,1873.0,,,,VANGUARD FUNDS PLC / VANGUARD ESG GLOBAL ALL CAP UCITS ETF,
HDFC Asset Management Company Ltd.,vanguard-fund,Bought,2023-06-20,0.3629874,1938,1873.0,,,,VANGUARD FUNDS PUBLIC LIMITED COMPANY VANGUARD FTSE ALL WORLD ETF,
HDFC Asset Management Company Ltd.,vanguard-fund,Bought,2023-06-20,0.6956322,3714,1873.0,,,,VANGUARD FUNDS PUBLIC LIMITED COMPANY VANGUARD FTSE EMERGING MARKETS ETF,
HDFC Asset Management Company Ltd.,vanguard-fund,Bought,2023-06-20,0.0732343,391,1873.0,,,,VANGUARD INVESTMENTS FUNDS ICVC - VANGUARD FTSE GLOBAL ALL CAP INDEX FUND,
HDFC Asset Management Company Ltd.,vanguard-fund,Bought,2023-06-20,22.0886636,117932,1873.0,,,,VANGUARD TOTAL INTERNATIONAL STOCK INDEX FUND,
HDFC Asset Management Company Ltd.,vanguard-fund,Bought,2023-06-20,0.8310501,4437,1873.0,,,,VANGUARD TOTAL WORLD STOCK INDEX FUND,
HDFC Asset Management Company Ltd.,vanguard-fund,Bought,2023-06-20,0.1640748,876,1873.0,,,,VIS PLC - VANGUARD ESG EMERGING MARKETS ALL CAP EQUITY INDEX FUND,
Piramal Pharma Ltd.,vanguard-fund,Bought,2023-06-16,58.747779552,6202912,94.71,,,,THE VANGUARD GROUP INC AC VANGUARD TOTAL INTERNATIONAL STOCK INDEX FUND,
D-Link (India) Ltd.,ashish-kacholia,Sold,2023-06-14,8.430140199,369889,227.91,,,,ASHISH KACHOLIA,
Sangam (India) Ltd.,madhusudan-kela,Bought,2023-06-14,22.5307332,840699,268.0,2940699.0,320.80807998370454,-52.808079983704545,MADHURI MADHUSUDAN KELA,0.0
Go Fashion (India) Ltd.,sequoia,Sold,2023-06-12,624.7271887499999,5498875,1136.1,,,,SEQUOIA CAPITAL INDIA INVESTMENTS IV,
United Drilling Tools Ltd.,ashish-kacholia,Sold,2023-06-08,3.01717111,158390,190.49,,,,ASHISH KACHOLIA,
D-Link (India) Ltd.,ashish-kacholia,Sold,2023-06-07,4.4480267,194662,228.5,,,,ASHISH KACHOLIA,
BEW Engineering Ltd.,ashish-kacholia,Bought,2023-05-24,10.42587225,104750,995.31,,,,SURYAVANSHI COMMOTRADE PVT LTD,
Avalon Technologies Ltd.,goldman,Bought,2023-04-18,14.461346930000001,350230,412.91,1449931.0,478.5744976829932,-65.66449768299316,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,0.05
Venus Pipes & Tubes Ltd.,ashish-kacholia,Bought,2023-04-11,30.0,400000,750.0,,,,ASHISH RAMESHCHANDRA KACHOLIA,
Infomedia Press Ltd.,sanjiv,Bought,2023-03-23,0.23421289500000003,531095,4.41,1290072.0,5.968659113599861,-1.5586591135998606,SANJIVBHAI DHIRESHBHAI SHAH HUF,0.0
Systango Technologies Ltd,ashish-kacholia,Bought,2023-03-20,1.836,163200,112.5,,,,SURYAVANSHI COMMOTRADE PVT LTD,
Delhivery Ltd.,vanguard-fund,Bought,2023-03-17,155.02229648399998,4798412,323.07,15520189.0,383.352290361928,-60.282290361928005,VANGUARD EMERGING MARKETS STOCK INDEX FUND A SERIES OF VIEIF,0.03
Delhivery Ltd.,vanguard-fund,Bought,2023-03-17,153.84964930499999,4762115,323.07,15520189.0,383.352290361928,-60.282290361928005,VANGUARD TOTAL INTERNATIONAL STOCK INDEX FUND,0.03
Equitas Small Finance Bank Ltd.,vanguard-fund,Bought,2023-03-17,38.897891037,5719437,68.01,,,,VANGUARD TOTAL INTERNATIONAL STOCK INDEX FUND,
Jaiprakash Power Ventures Ltd.,vanguard-fund,Bought,2023-03-17,22.288479264000003,36658683,6.08,,,,VANGUARD TOTAL INTERNATIONAL STOCK INDEX FUND,
Reliance Infrastructure Ltd.,vanguard-fund,Bought,2023-03-17,29.919748559999995,2012088,148.7,4012042.0,174.25041911325954,-25.55041911325955,VANGUARD TOTAL INTERNATIONAL STOCK INDEX FUND,-1.19
Adani Energy Solutions Ltd.,reliance-group,Bought,2023-03-02,67.22279268,1005727,668.4,,,,RELIANCE TRUST INSTITUTIONAL RETIREMENT TRUST SERIES ELEVEN,
Adani Energy Solutions Ltd.,reliance-group,Bought,2023-03-02,44.015811,658525,668.4,,,,RELIANCE TRUST INSTITUTIONAL RETIREMENT TRUST SERIES TWELVE,
Adani Green Energy Ltd.,reliance-group,Bought,2023-03-02,139.1288166,2757210,504.6,,,,RELIANCE TRUST INSTITUTIONAL RETIREMENT TRUST SERIES ELEVEN,
Adani Green Energy Ltd.,reliance-group,Bought,2023-03-02,51.622295640000004,1023034,504.6,,,,RELIANCE TRUST INSTITUTIONAL RETIREMENT TRUST SERIES TWELVE,
Adani Ports & Special Economic Zone Ltd.,reliance-group,Bought,2023-03-02,282.79948092,4743366,596.2,,,,RELIANCE TRUST INSTITUTIONAL RETIREMENT TRUST SERIES ELEVEN,
Adani Ports & Special Economic Zone Ltd.,reliance-group,Bought,2023-03-02,90.16982458000001,1512409,596.2,,,,RELIANCE TRUST INSTITUTIONAL RETIREMENT TRUST SERIES TWELVE,
Delhivery Ltd.,vanguard-fund,Bought,2023-03-01,3.1982376,93845,340.8,15520189.0,383.352290361928,-42.55229036192799,VANGUARD EMERGING MARKETS SELECT STOCK FUND,0.03
Delhivery Ltd.,vanguard-fund,Bought,2023-03-01,2.06255568,60521,340.8,15520189.0,383.352290361928,-42.55229036192799,VANGUARD INVESTMENTS FUNDS ICVC - VANGUARD GLOBAL EMERGING MARKETS FUND,0.03
Syngene International Ltd.,massachusetts,Bought,2023-02-01,17.92,320000,560.0,,,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,
Beryl Drugs Ltd.,ashok-kumar-jain,Sold,2023-01-23,0.0438425,35500,12.35,,,,ASHOK KUMAR JAIN,
Bilcare Ltd.,jhunjhunwala,Sold,2023-01-11,3.404025,675000,50.43,,,,REKHA JHUNJHUNWALA,
Bilcare Ltd.,jhunjhunwala,Sold,2023-01-10,3.6543826,794431,46.0,,,,REKHA JHUNJHUNWALA,
Bilcare Ltd.,jhunjhunwala,Sold,2023-01-09,0.568182932,135994,41.78,,,,REKHA JHUNJHUNWALA,
Beryl Drugs Ltd.,ashok-kumar-jain,Bought,2023-01-06,0.04494,30000,14.98,,,,ASHOK KUMAR JAIN,
S P Apparels Ltd.,ashish-kacholia,Sold,2022-12-27,5.04955317,164427,307.1,,,,ASHISH RAMESH KACHOLIA,
Freshtrop Fruits Ltd.,ashok-kumar-jain,Sold,2022-12-26,0.5068194,56946,89.0,,,,ASHOK JAIN,
Landmark Cars Ltd.,goldman,Bought,2022-12-23,18.308401755000002,392421,466.55,1331917.0,753.5004058060675,-286.9504058060675,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,0.21
Sula Vineyards Ltd.,goldman,Bought,2022-12-22,24.458227872,695864,351.48,2799161.0,481.4656963282927,-129.9856963282927,GOLDMAN SACHS FUNDS GOLDMAN SACHS INDIA EQUITY PORTFOLIO,1.07
D-Link (India) Ltd.,ashish-kacholia,Sold,2022-12-21,5.166528,213000,242.56,,,,ASHISH KACHOLIA,
Just Dial Ltd.,reliance-group,Sold,2022-12-21,50.585226118,843059,600.02,54289574.0,710.7994621582405,-110.77946215824056,RELIANCE RETAIL VENTURES LIMITED,0.0
Aditya Vision Ltd.,ashish-kacholia,Bought,2022-12-09,14.659,100000,1465.9,239506.0,3095.538316367857,-1629.638316367857,ASHISH RAMESHCHANDRA KACHOLIA,0.0
Go Fashion (India) Ltd.,sequoia,Sold,2022-12-05,228.028,2000000,1140.14,,,,SEQUOIA CAPITAL INDIA INVESTMENTS IV,
VST Industries Ltd.,rk_damani,Sold,2022-12-02,38.375957,109000,3520.73,4741720.0,3278.051002589777,242.67899741022302,RADHAKISHAN SHIVKISHAN DAMANI,0.0
VST Industries Ltd.,rk_damani,Sold,2022-12-02,32.736,93000,3520.0,4741720.0,3278.051002589777,241.948997410223,RADHAKISHAN SHIVKISHAN DAMANI,0.0
Likhitha Infrastructure Ltd.,ashish-kacholia,Bought,2022-11-30,15.3242,397000,386.0,700000.0,294.1428571428572,91.85714285714278,ASHISH KACHOLIA,0.0
Welcure Drugs & Pharmaceuticals Ltd.,ashok-kumar-jain,Sold,2022-11-24,0.04137,70000,5.91,,,,SHASHI ASHOK JAIN,
Sylph Technologies Ltd.,ashok-kumar-jain,Sold,2022-11-23,0.36516,170000,21.48,,,,ASHOKKUMAR HARAKLAL JAIN,
Kaynes Technology India Ltd.,goldman,Bought,2022-11-22,32.868728063999995,466038,705.28,,,,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,
Bikaji Foods International Ltd.,goldman,Bought,2022-11-16,56.6367373,1745354,324.5,,,,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,
Fusion Micro Finance Ltd.,massachusetts,Bought,2022-11-15,18.737789768,552281,339.28,,,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,
Sylph Technologies Ltd.,ashok-kumar-jain,Bought,2022-11-14,0.29155,170000,17.15,,,,ASHOKKUMAR HARAKLAL JAIN,
Indigo Paints Ltd.,sequoia,Sold,2022-11-09,100.85100335999999,750480,1343.82,5779480.0,1472.2431775869109,-128.42317758691092,SEQUOIA CAPITAL INDIA INVESTMENTS IV,0.0
Raghav Productivity Enhancers Ltd.,ashish-kacholia,Bought,2022-11-04,19.5077086,231683,842.0,463366.0,711.1009439622244,130.8990560377756,ASHISH RAMESHCHANDRA KACHOLIA,0.0
Agarwal Industrial Corporation Ltd.,ashish-kacholia,Bought,2022-09-28,11.3978,200000,569.89,597977.0,926.624268157471,-356.734268157471,ASHISH RAMESHCHANDRA KACHOLIA,0.07
Freshtrop Fruits Ltd.,ashok-kumar-jain,Bought,2022-09-27,0.40553999999999996,54000,75.1,,,,ASHOK JAIN,
Welcure Drugs & Pharmaceuticals Ltd.,ashok-kumar-jain,Bought,2022-09-26,0.109,100000,10.9,,,,SHASHI ASHOK JAIN,
Hind Rectifiers Ltd.,sanjiv,Bought,2022-09-21,2.3430703410000002,103269,226.89,350974.0,660.1628610666318,-433.2728610666318,SHAH SANJIV DHIRESHBHAI,0.22
Deepak Fertilisers & Petrochemicals Corporation Ltd.,vanguard-fund,Bought,2022-09-16,61.329814183,688921,890.23,,,,THE VANGUARD GROUP INC A/C VANGUARD EMERG. MKTS STOCK INDEXFD A SERIES OF V I E I F,
Elgi Equipments Ltd.,vanguard-fund,Bought,2022-09-16,137.44753988,2809639,489.2,,,,THE VANGUARD GROUP INC A/C VANGUARD EMERG. MKTS STOCK INDEXFD A SERIES OF V I E I F,
Elgi Equipments Ltd.,vanguard-fund,Bought,2022-09-16,133.52278612,2729411,489.2,,,,THE VANGUARD GROUP INC A/C VANGUARD TOTAL INTERNATIONAL STOCK INDEX FUND (P8),
GHCL Ltd.,vanguard-fund,Bought,2022-09-16,37.6733212,561350,671.12,2048182.0,544.9711012009675,126.14889879903251,THE VANGUARD GROUP INC A/C VANGUARD EMERG. MKTS STOCK INDEXFD A SERIES OF V I E I F,0.0
GHCL Ltd.,vanguard-fund,Bought,2022-09-16,38.756777328000005,577494,671.12,2048182.0,544.9711012009675,126.14889879903251,THE VANGUARD GROUP INC A/C VANGUARD TOTAL INTERNATIONAL STOCK INDEX FUND (P8),0.0
Best Agrolife Ltd.,ashish-kacholia,Bought,2022-08-30,29.919984,318000,940.88,532526.0,868.8777637148233,72.00223628517665,ASHISH RAMESHCHANDRA KACHOLIA,0.0
Kwality Pharmaceuticals Ltd.,ashish-kacholia,Sold,2022-08-30,2.423720043,74661,324.63,,,,SURYAVANSHI COMMOTRADE PVT. LTD.,
Newgen Software Technologies Ltd.,massachusetts,Bought,2022-08-11,37.5735,1015500,370.0,2904247.0,1299.6828437801605,-929.6828437801605,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,0.0
NMDC Ltd.,reliance-group,Sold,2022-08-05,827.543219356,74681276,110.81,,,,RELIANCE MUTUAL FUND,
Agarwal Industrial Corporation Ltd.,ashish-kacholia,Bought,2022-08-01,18.792464,372128,505.0,597977.0,926.624268157471,-421.62426815747096,ASHISH RAMESHCHANDRA KACHOLIA,0.07
Leading Leasing Finance and Investment Company Ltd.,jhunjhunwala,Bought,2022-08-01,0.73465,50000,146.93,,,,RARE ENTERPRISE,
Mastek Ltd.,ashish-kacholia,Sold,2022-08-01,116.05,550000,2110.0,,,,ASHISH KACHOLIA,
AKM Creations Ltd.,ashok-kumar-jain,Bought,2022-07-11,0.07308,24000,30.45,,,,SONALASHOKJAIN,
Paradeep Phosphates Ltd.,goldman,Bought,2022-05-27,18.987509545,4132211,45.95,15543338.0,65.59723529141553,-19.647235291415527,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,0.08
Greenlam Industries Ltd.,ashish-dhawan,Sold,2022-05-20,60.0,2000000,300.0,4814210.0,597.1904009172845,-297.1904009172845,ASHISH DHAWAN,0.0
Chennai Petroleum Corporation Ltd.,dolly-khanna,Bought,2022-04-28,26.314999999999998,1000000,263.15,2412020.0,600.7827464117213,-337.6327464117213,DOLLY KHANNA,-0.22
Vallabh Steels Ltd.,ashok-kumar-jain,Sold,2022-04-25,0.02373,35000,6.78,,,,ASHOK KUMAR JAIN,
Barbeque-Nation Hospitality Ltd.,ashish-kacholia,Bought,2022-04-21,29.4243652,253004,1163.0,557510.0,615.4149701350649,547.5850298649351,ASHISH RAMESH KACHOLIA,0.0
Barbeque-Nation Hospitality Ltd.,ashish-kacholia,Bought,2022-04-21,29.4243652,253004,1163.0,557510.0,615.4149701350649,547.5850298649351,ASHISH RAMESH KACHOLIA,0.0
Sanblue Corporation Ltd.,sanjiv,Bought,2022-03-29,0.45682555,212477,21.5,357802.0,34.9355229987535,-13.435522998753498,SHAH SANJIV DHIRESHBHAI HUF,0.0
Vadivarhe Speciality Chemicals Ltd.,rameshdamani,Bought,2022-03-28,0.17424,66000,26.4,189000.0,38.095238095238095,-11.695238095238096,RAMESH SHRICHAND DAMANI,0.0
Vadivarhe Speciality Chemicals Ltd.,rameshdamani,Sold,2022-03-28,0.17424,66000,26.4,189000.0,38.095238095238095,-11.695238095238096,RAMESH S DAMANI HUF,0.0
Atam Valves Ltd.,ashok-kumar-jain,Sold,2022-03-25,0.189912,24000,79.13,,,,ASHOK JAIN,
